DESCRIPTION,NAME,BARCODE,D_ACQUISITION,D_CALIBRATION
This is a screwdriver,Flat-head Screwdriver,100001,1/2/2025,1/2/2025
This is a hammer,Hammer,100002,1/3/2025,1/3/2025
This is a multimeter,Multimeter,100003,1/4/2025,1/4/2025
This is a Electric Drill,Electric Drill,100004,1/5/2025,1/5/2025
This is a Hand Saw,Hand Saw,100005,1/6/2025,1/6/2025
This is a Philips Screw Driver,Philips Screwdriver,100006,1/7/2025,1/7/2025
This is a Wire Stripper,Wire Stripper,100007,1/8/2025,1/8/2025
This is a 24 AWG Wire,24 AWG Wire,100008,1/9/2025,1/9/2025
This is a 26 AWG Wire,26 AWG Wire,100009,1/10/2025,1/10/2025
This is a 21 AWG Wire,21 AWG Wire,100010,1/11/2025,1/11/2025
